,mean,std
HR,85.01723226034528,16.92957510386088
MAP,78.78009114638533,15.044502092812191
O2Sat,97.26420718546102,2.9047244756065456
SBP,120.97947867410025,21.540494555360574
Resp,18.75194780371625,5.37870978105111
HospAdmTime,-51.57817942372825,159.18694464984193
Age,63.047421168582204,16.131428470132736
DBP,60.04799853752064,12.629993913731576
Temp,37.02687282309438,0.7830345530579607
Glucose,133.79656866366255,51.8505823195823
Potassium,4.159209940962989,0.6233843913440731
Hct,30.663767318976365,4.877195567017616
FiO2,0.5274902839672504,0.18803927359695152
Hgb,10.580251550371676,1.744648072095351
pH,7.380581682183492,0.07164979120078883
BUN,24.53829141274238,20.351622249710612
WBC,12.002775568250293,8.02375722346076
Magnesium,2.0389377894663343,0.3878000966639697
Creatinine,1.407524733637747,1.5446033020310586
Platelets,199.94762169216673,110.38933878051732
Calcium,8.3101529219006,0.8127128406099099
PaCO2,41.170685992752716,9.038068082807541
BaseExcess,-0.6273306905684868,4.2808195907779885
Chloride,105.8281409768302,5.922704055041966
HCO3,24.090526445928024,4.38768389838509
Phosphate,3.5820045884714657,1.4387165206757393
EtCO2,,
SaO2,91.09594599545687,12.34165609824368
PTT,40.82133676950459,23.917471775036518
Lactate,2.438311363877964,2.2772814176061216
AST,346.6997002398082,999.8498055243386
Alkalinephos,110.0356090373281,121.1097429435652
Bilirubin_total,2.6820533489667304,5.312724859367095
TroponinI,9.122693997071746,11.226660915534199
Fibrinogen,291.3747123737966,157.04232529970525
Bilirubin_direct,3.208085612366231,4.818793197303248
